Indicators,Country,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
Exports,Zimbabwe,91946,52471,36880,44568,44382,38772,54332,40380,41383,43049,41028,31586,15626,13310,20161,13629,12537,11306,3027,3216,3327,3191,2726,10479,
Imports,Zimbabwe,95854,87272,97393,88963,87203,72688,76140,83571,68784,58443,46409,24570,14087,14821,14277,13909,15792,14118,16708,15959,11489,10274,4434,2787,
fdi,Zimbabwe,,,80,,150,,65,,,,66,39,39,101,219,346,24,325,0,180,,63,15,,
electricity,Zimbabwe,,52.74766922,46.78147507,45.57264709,44.17863464,42.56172943,33.70000076,32.29999924,40.49837494,44,36.90000153,38.78255081,43.3690834,37.71934509,37.20401001,37.20000076,36.19231415,35.69060135,35.18835068,34.20000076,34.17284393,33.65488815,38.4,33.1038475,32.72261047
ageing,Zimbabwe,79.39357693,80.28525486,81.20785821,82.12334676,83.10128581,84.11221585,85.08336503,85.87550385,86.44543323,86.71712196,86.40049467,85.56456787,84.60683617,83.76047314,83.03161201,82.5791889,82.04762671,81.26760374,80.78745165,80.84327536,81.25248422,82.08216308,83.68613211,86.08818832,89.08225786
publicdebt,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,
business,Zimbabwe,,,76.6,110.7,110,121.5,118.4,120,128.9,126.9,156.5,198.3,353.8,596.7,676.1,179.9,223.5,314.8,371.3,,,,,,
gdp,Zimbabwe,1773.920411,1372.696674,1421.868596,2269.177012,1192.107012,1421.787789,1410.329174,1407.034293,1408.36781,1290.193956,1082.615774,937.8403384,762.2979575,351.8391005,425.0368417,441.4987969,470.7837614,477.399491,474.3022011,529.1868828,569.0032086,565.2843897,585.3317992,554.3614836,750.6839091
GNI per capita growth (annual %),Zimbabwe,6.001641639,-10.24497321,-7.707502922,12.99795617,3.092953252,-1.687753049,-1.728409118,-2.296778751,2.206955028,13.87278678,10.01845875,21.41010903,,,,,,,,,,,,,
savings,Zimbabwe,,16.45276307,20.23119802,13.92390634,-2.682416908,-4.967817877,-10.08684093,-4.790794567,-5.481515199,-12.66360723,-0.250434481,-1.471216592,-6.601694622,,,,,,,,,,,,
internet,Zimbabwe,,29.29856595,25.1,25,24.4,23.11998904,22.7428181,16.36473996,15.5,12,8.4,6.4,4,3.5,3,2.4,2.4,2.1,1.8,1.1,0.799846046,0.401433535,0.161675528,0.081648476,0.033080327
inflation,Zimbabwe,98.54610509,557.2018174,255.3049908,10.61886587,0.893962316,-1.543669601,-2.430968424,-0.19778481,1.634950415,3.725326661,3.466129728,3.022670025,,,,,,,,,,,,,
immigration,Zimbabwe,,,,,,,2.556382525,,,,,2.847387525,,,,,3.024340406,,,,,3.280332986,,,
gender,Zimbabwe,60.6629982,60.14899826,60.72999954,60.67300034,60.62900162,60.61700058,60.64799881,60.68199921,60.73400116,60.79199982,60.84000015,60.8730011,60.91500092,60.94300079,60.95299911,60.94100189,60.89699936,60.8730011,60.82799911,60.77000046,60.71099854,60.65499878,60.54700089,60.46099854,60.38999939
education,Zimbabwe,,,69.73000336,,,,,94.02999878,,,91.44999695,,,,,,,,,,,,,,
interest,Zimbabwe,45.47666667,33.00833333,16.18166667,7.131666667,6.914166667,7.113333333,8.541771335,9.4675,9.74,11.59666667,,,,,,,,,,,,,,,
literacy,Zimbabwe,89.69999695,,,,,,,88.69342041,,,83.58271027,,,,,,,,,,,,,,
militaryexp,Zimbabwe,0.013530071,0.005400376,0.534804135,0.309322838,0.387831394,1.720990852,1.88687572,1.888079606,1.868419674,1.859608531,1.407162105,0.816251453,,,,1.986155702,1.452640058,2.705783925,2.034767364,6.306710545,2.54986532,3.053845943,2.238162569,,2.998339261
oil,Zimbabwe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slums,Zimbabwe,,21.56821,,22.16356,,22.75892,,23.35427,,23.94962,,24.54498,,25.14033,,25.73569,,26.33104,,26.92639,,27.52175,,,
Real interest rate (%),Zimbabwe,-31.79555083,-81.13212091,-64.29515135,-64.38081686,3.742846189,4.998563015,8.144427568,8.787605,1.525434625,6.428554265,,,,,,,,,,,,,,,
ruralpop,Zimbabwe,67.697,67.758,67.79,67.791,67.763,67.704,67.615,67.496,67.346,67.166,66.985,66.804,66.622,66.44,66.257,66.074,65.89,65.706,65.521,65.415,65.83,66.242,66.653,67.061,67.466
servicesector,Zimbabwe,56.63987005,52.89257356,52.6772989,55.98476773,60.5916451,60.40990159,58.65106027,57.59105432,58.32607533,55.08523806,57.89580724,57.83214264,54.91697841,48.54836924,44.48720709,44.93365735,48.68137859,49.83316104,74.35868073,77.02006857,74.66612158,70.1253413,46.13197662,47.00198448,48.94880535
"Share of tariff lines with international peaks, all products (%)",Zimbabwe,,,,,,18.87032,32.99818,,,37.67127,26.53283,33.94435,,,40.02151,,,,38.80154,41.72977,42.99253,44.36578,50.09492,46.80062,51.68011
"Share of tariff lines with specific rates, all products (%)",Zimbabwe,,,,,,6.022309,0.2542544,,,0.1326835,0.0705426,0.4971995,,,0.4681618,,,,6.508849,7.530693,1.467104,0.5489042,0.7284768,0.0509456,0
"Tariff rate, applied, simple mean, all products (%)",Zimbabwe,,,,,,9.56,13.29,,,17.47,11.92,16.97,,,18.68,,,,16.66,18.17,19.22,22.15,26.33,20.95,25.02
"Tariff rate, applied, simple mean, primary products (%)",Zimbabwe,,,,,,7.22,16.85,,,20.46,10.48,21.31,,,19.33,,,,19.57,21.04,21.27,26.43,36.4,21.19,24.03
Tariffs,Zimbabwe,,,,,,4.99,5.72,,,14.76,5.82,16.6,,,12.48,,,,17.33,17.48,10.55,11.57,17.59,17.76,17.11
"Tariff rate, applied, weighted mean, primary products (%)",Zimbabwe,,,,,,5.48,6.59,,,13.71,5.99,17.53,,,10.7,,,,20.36,20.03,7.01,7.32,16.27,24.94,15.28
"Tariff rate, most favored nation, simple mean, all products (%)",Zimbabwe,,,,,,13.1,16.15,,,14.78,14.76,14.81,,,16.8,,,,16.14,16.43,19.65,21.88,24.56,21.62,23.81
"Tariff rate, most favored nation, weighted mean, all products (%)",Zimbabwe,,,,,,10.62,12.86,,,14.76,13.49,16.6,,,13.13,,,,17.33,17.48,10.55,11.57,17.59,19.81,17.11
unemployment,Zimbabwe,,,7.369999886,,,,,4.769999981,,,5.369999886,,,,,,,4.389999866,,,,,6,,6.929999828
Exports,Zambia,78085,68135,97035,96949,70947,49022,55207,72567,72969,69722,61734,30168,15254,26435,19781,10253,4850,5104,3488,3719,3884,3286,840,2213,
Imports,Zambia,439136,350604,326454,408285,312275,218350,178648,306075,304787,269196,277190,258385,128507,52250,39486,27036,25206,17111,4788,4609,3568,6939,1762,622,
fdi,Zambia,2,,,400,,,512,,1488,629,1,407,50,,100,539,289,385,109,15,,10,,,
electricity,Zambia,,44.5244751,43,40.31789017,40.29999924,35.42545319,31.10000038,27.89999962,29.88627243,29.01272583,28.15900993,22,26.50307083,25.69542885,18.5,24.10725784,23.32130814,20.29999924,18.5,17.39999962,20.17238617,16.70000076,18.54024506,19,17.11245918
ageing,Zambia,81.82245566,83.18451626,84.54315562,85.83897743,87.05102299,88.19842781,89.2993112,90.35598053,91.31781197,92.13160793,92.82765314,93.53341111,94.37786354,95.28448965,96.19742768,97.05934398,97.88558646,98.68914988,99.53814119,100.4628754,101.5295498,102.6189538,103.3416012,103.8257105,104.2507037
publicdebt,Zambia,,103.6982424,61.93011738,59.71222117,52.28094184,46.43289358,49.40734735,44.39586759,24.22399414,23.48891928,18.04990936,17.32151148,,,,,,,,,,,,161.2321579,150.0725489
business,Zambia,,,34,32.8,34.2,34.7,34.3,33.7,32.6,27,26.9,27.9,28.4,28.6,30.5,29.9,30.3,31.7,33.2,,,,,,
gdp,Zambia,1137.343633,956.8313639,1268.120941,1475.204538,1495.752138,1249.923143,1307.909649,1724.57622,1840.320553,1729.647471,1644.456831,1469.36145,1150.941746,1393.519491,1133.436158,1065.596417,720.4465047,556.0471427,452.2838109,399.0986242,401.7362098,364.0312943,353.833049,377.4563316,471.1714037
GNI per capita growth (annual %),Zambia,,,,,,,,,,,,,,,,,,,,,,,,,
savings,Zambia,42.89036136,45.21786987,39.71439324,41.82582796,36.25246532,30.44015508,33.70021507,32.30301495,32.9503766,35.47462341,30.67026154,31.43342756,,,,,,,,,,,,,
internet,Zambia,,19.8,16.8,14.2999971,12.2,10.3,8.8,6.5,4.8,4.1,3.5,3,2.5,2.2,1.9,1.6,1.3,1.1,0.980483039,0.477750907,0.233129556,0.191071643,0.147053172,0.030226183,0.009329658
inflation,Zambia,22.02123429,15.73258514,9.150316443,7.494571927,6.577311542,17.86973008,10.11059289,7.806875536,6.977676055,6.575899708,6.429396811,8.501761334,13.39525463,12.44557935,10.6573496,9.019572472,18.3244397,17.96778911,21.40157839,22.23334464,21.39378218,26.03041179,26.78769668,24.45845635,24.41872157
immigration,Zambia,,,,,,,0.78902565,,,,,1.075176259,,,,,2.098618261,,,,,3.034107935,,,
gender,Zambia,54.02899933,54.43600082,52.20399857,52.18199921,52.04199982,51.91899872,51.82300186,51.73400116,51.66799927,51.61899948,51.57799911,51.54199982,51.55899811,51.58499908,51.61999893,51.66799927,51.73199844,51.77799988,51.82799911,51.88199997,51.94200134,52.00500107,51.98899841,51.9679985,51.9469986
education,Zambia,79.93000031,78.30999756,77.12999725,78.91000366,75.90000153,,,,,,,,,,,,,,,,,,,,
interest,Zambia,,9.479166667,10.29166667,9.791666667,12.375,15.5,13.25,11.57333333,9.520833333,12.15083333,18.83666667,20.91666667,22.0625,19.06416667,18.89083333,23.15333333,28.20916667,30.7271,40.57103333,45.19801667,46.23333333,38.8,40.51666667,31.8,46.69166667
literacy,Zambia,,87.5,,86.74796295,,,,,,,,83.00766754,,,61.12709045,,,,,69.14922333,,,68.00179291,,
militaryexp,Zambia,1.304765272,1.154225462,1.219374502,1.409462391,1.309596105,1.429304719,1.75323438,1.633868392,1.359736572,1.357868638,1.31763957,1.382592547,1.441530462,1.552422316,1.652418861,1.6136458,1.674406237,1.580899604,,,,,1.64831846,,1.007661038
oil,Zambia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slums,Zambia,,48.25813,,49.81077,,51.36341,,52.91605,,54.4687,,56.02134,,57.57398,,59.12662,,60.67926,,62.23191,,63.78455,,,
Real interest rate (%),Zambia,,-3.749080532,2.469674325,2.21586529,2.070262066,1.715079428,6.179215852,5.821127547,-0.19172,4.821684114,6.951848616,6.112942212,15.63363346,7.613795381,5.240870634,7.517820242,9.909085184,9.196933647,19.52534147,21.61562428,16.67746349,4.66476807,19.15879543,12.7393085,16.97662997
ruralpop,Zambia,54.808,55.371,55.928,56.479,57.024,57.562,58.093,58.618,59.135,59.646,60.149,60.645,61.139,61.629,62.119,62.605,63.089,63.57,64.049,64.525,64.998,65.198,64.742,64.284,63.824
